"","date","day_of_week","is_weekday","location","hour","demand","wind_speed","temperature","activity"
"92","2025-09-01","Monday",1,"derby",20,406.87,4.39429622080915,15.650355,0.751171059815394
"93","2025-09-01","Monday",1,"derby",21,453.1,4.34353811781223,14.9059100000001,0.552799084460538
"94","2025-09-01","Monday",1,"derby",22,431.59,4.34005198801343,13.96695,0.424078638856356
"95","2025-09-01","Monday",1,"derby",23,394.13,4.27683637877417,13.45376,0.252227839217916
"96","2025-09-01","Monday",1,"derby",24,367.05,4.47896959712048,12.67215,0
"97","2025-09-01","Monday",1,"swansea",1,90.21,8.11189848417597,14.85095,0.0833497969498255
"98","2025-09-01","Monday",1,"swansea",2,102.82,7.76177181491159,14.6356500000001,0.0312595656273746
"99","2025-09-01","Monday",1,"swansea",3,152.36,8.06929782901829,14.47811,0.100169599893129
"100","2025-09-01","Monday",1,"swansea",4,154.54,8.38834078181524,14.398035,0.0387479323100659
"101","2025-09-01","Monday",1,"swansea",5,102.18,7.76529285304566,14.59707,0.0786286540105746
"102","2025-09-01","Monday",1,"swansea",6,111.61,7.77709241684176,14.57867,0.0697752033807313
"103","2025-09-01","Monday",1,"swansea",7,240.22,7.59665905548699,14.34482,0.0381419256563538
"104","2025-09-01","Monday",1,"swansea",8,298.65,6.80464255234063,14.736595,0.865443976725815
"105","2025-09-01","Monday",1,"swansea",9,362.89,6.96496823513271,14.678735,0.777732006987944
"106","2025-09-01","Monday",1,"swansea",10,287.78,7.27398764193318,14.91476,0.273711230566318
"107","2025-09-01","Monday",1,"swansea",11,184.75,7.35967377357335,15.8674,0.162619663129813
"108","2025-09-01","Monday",1,"swansea",12,122.65,7.09761272031897,15.98119,0.144325689817829
"109","2025-09-01","Monday",1,"swansea",13,-1.33,6.81488313186708,16.387505,0.213249825072577
"110","2025-09-01","Monday",1,"swansea",14,-22.62,7.23876386451149,16.5273,0.223990902688748
"111","2025-09-01","Monday",1,"swansea",15,2.66,7.32716042769543,16.70913,0.276442798804472
"112","2025-09-01","Monday",1,"swansea",16,21.94,7.75695140108798,17.041035,0.279448682073662
"113","2025-09-01","Monday",1,"swansea",17,58.24,7.79746243729204,16.60778,0.331473555311245
"114","2025-09-01","Monday",1,"swansea",18,164.99,7.51261398556521,16.70102,0.714839096091289
"115","2025-09-01","Monday",1,"swansea",19,246.23,6.848139601715,15.692315,0.739214823741012
"116","2025-09-01","Monday",1,"swansea",20,343.22,6.43379419870636,15.29293,0.751171059815394
"117","2025-09-01","Monday",1,"swansea",21,364.04,6.20825855678535,14.780905,0.552799084460538
"118","2025-09-01","Monday",1,"swansea",22,417.96,5.78068423297624,14.24041,0.424078638856356
"119","2025-09-01","Monday",1,"swansea",23,349.51,5.51509112948575,14.524065,0.252227839217916
"120","2025-09-01","Monday",1,"swansea",24,380.55,5.6786409863186,13.99737,0
"121","2025-09-02","Tuesday",1,"birmingham",1,297.77,3.84081064676162,12.48013,0.0629812122619752
"122","2025-09-02","Tuesday",1,"birmingham",2,285.42,3.90821104746331,12.08267,0.114054004590347
"123","2025-09-02","Tuesday",1,"birmingham",3,274.74,3.89364595335377,11.66396,0
"124","2025-09-02","Tuesday",1,"birmingham",4,262.39,3.80953251652138,11.20083,0.150455239831796
"125","2025-09-02","Tuesday",1,"birmingham",5,257.27,3.34472974832415,11.01602,0.0662157721609519
"126","2025-09-02","Tuesday",1,"birmingham",6,263.7,2.97913230286362,10.7687,0.089043722497763
"127","2025-09-02","Tuesday",1,"birmingham",7,298.95,3.25723350355272,10.75112,0.0412101059010858
"128","2025-09-02","Tuesday",1,"birmingham",8,348.23,3.41492363794831,12.27798,0.999072946989553
"129","2025-09-02","Tuesday",1,"birmingham",9,379.25,3.94228319572618,14.03408,0.812330782343123
"130","2025-09-02","Tuesday",1,"birmingham",10,412.89,3.87704186318954,15.558,0.391131526285381
"131","2025-09-02","Tuesday",1,"birmingham",11,430.62,3.10629072093759,16.81753,0.410581318453269
"132","2025-09-02","Tuesday",1,"birmingham",12,430.88,3.4979603123687,17.54385,0.231810584866926
"133","2025-09-02","Tuesday",1,"birmingham",13,448.02,3.79218521695838,17.45864,0.247663215520841
"134","2025-09-02","Tuesday",1,"birmingham",14,445.33,3.79575979019538,17.2433,0.411353220598548
"135","2025-09-02","Tuesday",1,"birmingham",15,442.69,4.12850813089366,17.21694,0.361592469273746
"136","2025-09-02","Tuesday",1,"birmingham",16,427.32,4.30144462579719,17.6266,0.22763910622908
"137","2025-09-02","Tuesday",1,"birmingham",17,437.11,4.25676406149212,17.2548,0.291696525480964
"138","2025-09-02","Tuesday",1,"birmingham",18,466.41,3.12619686632113,16.96963,0.784053265224787
"139","2025-09-02","Tuesday",1,"birmingham",19,451.06,2.50379079531383,16.78237,0.760203135626704
"140","2025-09-02","Tuesday",1,"birmingham",20,443.27,2.25171058036602,16.49038,0.832174140471705
"141","2025-09-02","Tuesday",1,"birmingham",21,437.66,2.04804523834029,15.56875,0.667454282746585
"142","2025-09-02","Tuesday",1,"birmingham",22,395.35,1.97513092590293,14.975,0.360144081289184
"143","2025-09-02","Tuesday",1,"birmingham",23,355.5,2.14777381043471,15.35244,0.280099462633328
"144","2025-09-02","Tuesday",1,"birmingham",24,313.72,2.83599520701381,15.1713,0.118439282854289
"145","2025-09-02","Tuesday",1,"bristol",1,370.29,3.91399600963865,13.0973,0.0629812122619752
"146","2025-09-02","Tuesday",1,"bristol",2,369.57,3.69388389041217,12.62368,0.114054004590347
"147","2025-09-02","Tuesday",1,"bristol",3,369.49,3.17178295074959,12.24795,0
"148","2025-09-02","Tuesday",1,"bristol",4,351.2,2.97680376950584,11.91372,0.150455239831796
"149","2025-09-02","Tuesday",1,"bristol",5,324.59,3.20508011397004,11.86758,0.0662157721609519
"150","2025-09-02","Tuesday",1,"bristol",6,348.66,3.35909946402902,11.78628,0.089043722497763
"151","2025-09-02","Tuesday",1,"bristol",7,412.52,3.29753042950215,12.3058,0.0412101059010858
"152","2025-09-02","Tuesday",1,"bristol",8,467.67,3.21760134731272,13.2565,0.999072946989553
"153","2025-09-02","Tuesday",1,"bristol",9,573.42,3.09324176876795,14.13955,0.812330782343123
"154","2025-09-02","Tuesday",1,"bristol",10,619.18,3.21577937732561,14.58535,0.391131526285381
"155","2025-09-02","Tuesday",1,"bristol",11,611.98,3.78918548882301,15.01284,0.410581318453269
"156","2025-09-02","Tuesday",1,"bristol",12,548.93,4.25588074779477,15.44424,0.231810584866926
"157","2025-09-02","Tuesday",1,"bristol",13,546.57,5.63411170752829,15.93325,0.247663215520841
"158","2025-09-02","Tuesday",1,"bristol",14,540.56,4.56823005933379,17.13003,0.411353220598548
"159","2025-09-02","Tuesday",1,"bristol",15,551.44,4.03107238617084,17.97866,0.361592469273746
"160","2025-09-02","Tuesday",1,"bristol",16,552.09,3.55607995200365,18.20278,0.22763910622908
"161","2025-09-02","Tuesday",1,"bristol",17,594.69,3.45052403757886,18.71377,0.291696525480964
"162","2025-09-02","Tuesday",1,"bristol",18,593.38,3.3141991311384,18.65908,0.784053265224787
